text,jurisdiction,source,last_reform_date,title,Id
Reglamento de la Ley Aduanera.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAdua.pdf,28/12/2023,Reglamento de la Ley Aduanera,4.00001
Reglamento de la Ley Agraria en Materia de Certificacíon de Derechos Ejidales y Titulación de Solares.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAgra_MCDETS.pdf,06/01/1993,Reglamento de la Ley Agraria en Materia de Certificación de Derechos Ejidales y Titulación de Solares,4.00002
Reglamento de la Ley Agraria en Materias de Ordenamiento de la Propiedad Rural.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAgra_MOPR.pdf,28/11/2012,Reglamento de la Ley Agraria en Materia de Ordenamiento de la Propiedad Rural,4.00003
Reglamento de la Ley Agraria para Fomentar la Organización y Desarrollo de la Mujer Campesina.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAgra_FODMC.pdf,08/05/1998,Reglamento de la Ley Agraria para Fomentar la Organización y Desarrollo de la Mujer Campesina,4.00004
"Reglamento de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público.doc.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAASSP.pdf,14/02/2024,"Reglamento de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público",4.00005
Reglamento de la Ley de Aeropuertos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAero_210618.pdf,21/06/2018,Reglamento de la Ley de Aeropuertos,4.00006
Reglamento de la Ley de Aguas Nacionales.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAN_250814.pdf,25/08/2014,Reglamento de la Ley de Aguas Nacionales,4.00007
Reglamento de la Ley de Ascensos de la Armada de México.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAAM_060320.pdf,06/03/2020,Reglamento de la Ley de Ascensos de la Armada de México,4.00008
Reglamento de la Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAREFAM.pdf,03/05/2023,Reglamento de la Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos,4.00009
Reglamento de la Ley de Asociaciones Público Privadas.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAPP_200217.pdf,20/02/2017,Reglamento de la Ley de Asociaciones Público Privadas,4.00010
Reglamento de la Ley de Asociaciones Religiosas y Culto Público.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LARCP.pdf,06/11/2003,Reglamento de la Ley de Asociaciones Religiosas y Culto Público,4.00011
Reglamento de la Ley de Aviación Civil.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAC.pdf,07/12/1998,Reglamento de la Ley de Aviación Civil,4.00012
Reglamento de la Ley de Ayuda Alimentaria para los Trabajadores.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LAAT_040615.pdf,4/6/2015,Reglamento de la Ley de Ayuda Alimentaria para los Trabajadores,4.00013
Reglamento de la Ley de Bioseguridad de Organismos Genéticamente Modificados.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LBOGM.pdf,6/3/2009,Reglamento de la Ley de Bioseguridad de Organismos Genéticamente Modificados,4.00014
Reglamento de la Ley de Cámaras Empresariales y sus Confederaciones.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LCEC.pdf,13/02/2013,Reglamento de la Ley de Cámaras Empresariales y sus Confederaciones,4.00015
Reglamento de la Ley de Comercio Exterior.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LCE.pdf,30/12/1993,Reglamento de la Ley de Comercio Exterior,4.00016
"Reglamento de la Ley de Desarrollo Rural Sustentable en Materia de Organismos, Instancias de Representación, Sistemas y Servicios Especializados.doc.txt",MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LDRS_MOIRSSE.pdf,5/10/2004,"Reglamento de la Ley de Desarrollo Rural Sustentable en Materia de Organismos, Instancias de Representación, Sistemas y Servicios Especializados",4.00017
Reglamento de la Ley de Educación Militar del Ejército y Fuerza Aérea Mexicanos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LEMEFAM.pdf,1/2/2023,Reglamento de la Ley de Educación Militar del Ejército y Fuerza Aérea Mexicanos,4.00018
Reglamento de la Ley de Educación Naval.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LEN_270120.pdf,27/1/2020,Reglamento de la Ley de Educación Naval,4.00019
Reglamento de la Ley de Energía Geotérmica.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LEG.pdf,31/10/2014,Reglamento de la Ley de Energía Geotérmica,4.00020
Reglamento de la Ley de Energía para el Campo.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LECampo.pdf,4/12/2003,Reglamento de la Ley de Energía para el Campo,4.00021
Reglamento de la Ley de Firma Electrónica Avanzada.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LFEA.pdf,21/3/2014,Reglamento de la Ley de Firma Electrónica Avanzada,4.00022
Reglamento de la Ley de Fomento para la Lectura y el Libro.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LFLL.pdf,23/4/2010,Reglamento de la Ley de Fomento para la Lectura y el Libro,4.00023
Reglamento de la Ley de Hidrocarburos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LHidro.pdf,31/10/2014,Reglamento de la Ley de Hidrocarburos,4.00024
Reglamento de la Ley de información Estadística y Geográfica.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LIEG.pdf,24/3/2004,Reglamento de la Ley de Información Estadística y Geográfica,4.00025
Reglamento de la Ley de Ingresos sobre Hidrocarburos.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LIH_220517.pdf,22/5/2017,Reglamento de la Ley de Ingresos sobre Hidrocarburos,4.00026
Reglamento de la Ley de Inversión Extranjera y del Registro Nacional de Inversiones Extranjeras.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LIERNIE_170816.pdf,17/8/2016,Reglamento de la Ley de inversión Extranjera y del Registro Nacional de Inversiones Extranjeras,4.00027
Reglamento de la Ley de la Comisión Federal de Electricidad.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LCFE_090215.pdf,31/10/2014,Reglamento de la Ley de la Comisión Federal de Electricidad,4.00028
Reglamento de la Ley de la Guardia Nacional.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGN_111220.pdf,11/12/2020,Reglamento de la Ley de la Guardia Nacional,4.00029
Reglamento de la Ley de la Industria Eléctrica.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LIE.pdf,31/10/2014,Reglamento de la Ley de la Industria Eléctrica,4.00030
Reglamento de la Ley de la Policía Federal.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LPF_220814.pdf,22/8/2014,Reglamento de la Ley de la Policía Federal,4.00031
Reglamento de la Ley de la Propiedad Industrial.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LPI_161216.pdf,16/12/2016,Reglamento de la Ley de la Propiedad Industrial,4.00032
Reglamento de la Ley de los Sistemas de Ahorro para el Retiro.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LSAR_250220.pdf,24/8/2009,Reglamento de la ley de los Sistemas de Ahorro para el Retiro,4.00033
Reglamento de la Ley de Migración.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LMigra.pdf,23/5/2014,Reglamento de la Ley de Migración,4.00034
Reglamento de la Ley de Nacionalidad.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LNac.pdf,25/11/2013,Reglamento de la Ley de Nacionalidad,4.00035
Reglamento de la Ley de Navegación y Comercio Marítimos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LNCM_040315.pdf,4/3/2015,Reglamento de la Ley de Navegación y Comercio Marítimos,4.00036
Reglamento de la Ley de Obras Públicas y Servicios Relacionados con las Mismas.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LOPSRM.pdf,24/2/2023,Reglamento de la Ley de Obras Públicas y Servicios Relacionados con las Mismas,4.00037
Reglamento de la Ley de Organizaciones Ganaderas.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LOGan.pdf,10/1/2000,Reglamento de la Ley de Organizaciones Ganaderas,4.00038
Reglamento de la Ley de Pesca.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LPesca.pdf,28/1/2004,Reglamento de la Ley de Pesca,4.00039
Reglamento de la Ley de Petróleos Mexicanos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LPM_090215.pdf,9/2/2015,Reglamento de la Ley de Petróleos Mexicanos,4.00040
Reglamento de la Ley de Productos Orgánicos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LPO.pdf,8/4/2010,Reglamento de la Ley de Productos Orgánicos,4.00041
Reglamento de la Ley de Promoción y Desarrollo de los Bioenergéticos.doc.txt,MX,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LPDB.pdf,18/6/2009,Reglamento de la Ley de Promoción y Desarrollo de los Biogenéticos,4.00042
