Starting final run.
Skipped law ID: 1.00001, title has no commas: 'CONSTITUCIÓN POLÍTICA ESTADOS UNIDOS MEXICANOS'
Skipped law ID: 1.00002, title has no commas: 'CÓDIGO CIVIL FEDERAL'
Skipped law ID: 1.00003, title has no commas: 'CÓDIGO DE COMERCIO'
Skipped law ID: 1.00004, title has no commas: 'CÓDIGO DE JUSTICIA MILITAR'
Skipped law ID: 1.00005, title has no commas: 'CÓDIGO FEDERAL DE PROCEDIMIENTOS CIVILES'
Skipped law ID: 1.00006, title has no commas: 'CÓDIGO FISCAL DE LA FEDERACIÓN'
Skipped law ID: 1.00007, title has no commas: 'CÓDIGO MILITAR DE PROCEDIMIENTOS PENALES'
Skipped law ID: 1.00008, title has no commas: 'CÓDIGO NACIONAL DE PROCEDIMIENTOS CIVILES Y FAMILIARES'
Skipped law ID: 1.00009, title has no commas: 'CÓDIGO NACIONAL DE PROCEDIMIENTOS PENALES'
Skipped law ID: 1.00010, title has no commas: 'CÓDIGO PENAL FEDERAL'
Skipped law ID: 1.00011, title has no commas: 'ESTATUTO DE GOBIERNO DEL DISTRITO FEDERAL'
Querying DynamoDB for law ID: 1.00012
Current state for rollback: Law ID: 1.00012, Original Title: '"IMPUESTO SOBRE SERVICIOS EXPRESAMENTE DECLARADOS DE INTERÉS PÚBLICO POR LEY'
Updating law ID: 1.00012 from '"IMPUESTO SOBRE SERVICIOS EXPRESAMENTE DECLARADOS DE INTERÉS PÚBLICO POR LEY' to 'IMPUESTO SOBRE SERVICIOS EXPRESAMENTE DECLARADOS DE INTERÉS PÚBLICO POR LEY, EN LOS QUE INTERVENGAN EMPRESAS CONCESIONARIAS DE BIENES DEL DOMINIO DIRECTO DE LA NACIÓN'
Updated law ID: 1.00012 with correct title: 'IMPUESTO SOBRE SERVICIOS EXPRESAMENTE DECLARADOS DE INTERÉS PÚBLICO POR LEY, EN LOS QUE INTERVENGAN EMPRESAS CONCESIONARIAS DE BIENES DEL DOMINIO DIRECTO DE LA NACIÓN'
Skipped law ID: 1.00013, title has no commas: 'LEY ADUANERA'
Skipped law ID: 1.00014, title has no commas: 'LEY AGRARIA'
Querying DynamoDB for law ID: 1.00015
Current state for rollback: Law ID: 1.00015, Original Title: '"LEY DE ADQUISICIONES'
Updating law ID: 1.00015 from '"LEY DE ADQUISICIONES' to 'LEY DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO'
Updated law ID: 1.00015 with correct title: 'LEY DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO'
Skipped law ID: 1.00016, title has no commas: 'LEY DE AEROPUERTOS'
Skipped law ID: 1.00017, title has no commas: 'LEY DE AGUAS NACIONALES'
Skipped law ID: 1.00018, title has no commas: 'LEY DE AHORRO Y CRÉDITO POPULAR'
Skipped law ID: 1.00019, title has no commas: 'LEY DE AMNISTÍA (2020)'
Skipped law ID: 1.00020, title has no commas: 'LEY DE AMNISTÍA (1994)'
Querying DynamoDB for law ID: 1.00021
Current state for rollback: Law ID: 1.00021, Original Title: '"LEY DE AMPARO'
Updating law ID: 1.00021 from '"LEY DE AMPARO' to 'LEY DE AMPARO, REGLAMENTARIA DE LOS ARTÍCULOS 103 Y 107 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS'
Updated law ID: 1.00021 with correct title: 'LEY DE AMPARO, REGLAMENTARIA DE LOS ARTÍCULOS 103 Y 107 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS'
Skipped law ID: 1.00022, title has no commas: 'LEY DE ASCENSOS DE LA ARMADA DE MÉXICO'
Skipped law ID: 1.00023, title has no commas: 'LEY DE ASCENSOS Y RECOMPENSAS DEL EJÉRCITO Y FUERZA AÉREA MEXICANOS'
Skipped law ID: 1.00024, title has no commas: 'LEY DE ASISTENCIA SOCIAL'
Skipped law ID: 1.00025, title has no commas: 'LEY DE ASOCIACIONES PÚBLICO PRIVADAS'
Skipped law ID: 1.00026, title has no commas: 'LEY DE ASOCIACIONES RELIGIOSAS Y CULTO PÚBLICO'
Skipped law ID: 1.00027, title has no commas: 'LEY DE AVIACIÓN CIVIL'
Skipped law ID: 1.00028, title has no commas: 'LEY DE AYUDA ALIMENTARIA PARA LOS TRABAJADORES'
Skipped law ID: 1.00029, title has no commas: 'LEY DE BIOSEGURIDAD DE ORGANISMOS GENÉTICAMENTE MODIFICADOS'
Skipped law ID: 1.00030, title has no commas: 'LEY DE CÁMARAS EMPRESARIALES Y SUS CONFEDERACIONES'
Querying DynamoDB for law ID: 1.00031
Current state for rollback: Law ID: 1.00031, Original Title: '"LEY DE CAMINOS'
Updating law ID: 1.00031 from '"LEY DE CAMINOS' to 'LEY DE CAMINOS, PUENTES Y AUTOTRANSPORTE FEDERAL'
Updated law ID: 1.00031 with correct title: 'LEY DE CAMINOS, PUENTES Y AUTOTRANSPORTE FEDERAL'
Skipped law ID: 1.00032, title has no commas: 'LEY DE CAPITALIZACIÓN DEL PROCAMPO'
Skipped law ID: 1.00033, title has no commas: 'LEY DE CARRERA JUDICIAL DEL PODER JUDICIAL DE LA FEDERACIÓN'
Skipped law ID: 1.00034, title has no commas: 'LEY DE COMERCIO EXTERIOR'
Skipped law ID: 1.00035, title has no commas: 'LEY DE CONCURSOS MERCANTILES'
Skipped law ID: 1.00036, title has no commas: 'LEY DE CONTRIBUCIÓN DE MEJORAS POR OBRAS PÚBLICAS FEDERALES DE INFRAESTRUCTURA HIDRÁULICA'
Skipped law ID: 1.00037, title has no commas: 'LEY DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO'
Skipped law ID: 1.00038, title has no commas: 'LEY DE COORDINACIÓN FISCAL'
Skipped law ID: 1.00039, title has no commas: 'LEY DE DESARROLLO RURAL SUSTENTABLE'
Skipped law ID: 1.00040, title has no commas: 'LEY DE DESARROLLO SUSTENTABLE DE LA CAÑA DE AZÚCAR'
Skipped law ID: 1.00041, title has no commas: 'LEY DE DISCIPLINA DEL EJÉRCITO Y FUERZA AÉREA MEXICANOS'
Skipped law ID: 1.00042, title has no commas: 'LEY DE DISCIPLINA FINANCIERA DE LAS ENTIDADES FEDERATIVAS Y LOS MUNICIPIOS'
